FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2011,35.09,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2012,35.14,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2013,35.18,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2014,35.28,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2015,35.41,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2016,35.43,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2017,35.6,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2018,35.61,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2019,35.77,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2020,35.71,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2021,36,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2022,36.03,,
A,Annuale,ITC,Nord-ovest,FAVACH,Età media dei padri alla nascita del figlio,2023,36.13,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,1999,34.22,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2000,34.31,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2001,34.27,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2002,34.41,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2003,34.57,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2004,34.65,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2005,34.71,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2006,34.78,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2007,34.79,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2008,34.8,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2009,34.86,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2010,34.79,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2011,34.91,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2012,34.92,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2013,35.02,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2014,35.06,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2015,35.18,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2016,35.25,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2017,35.41,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2018,35.43,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2019,35.65,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2020,35.49,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2021,35.79,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2022,35.83,,
A,Annuale,ITC1,Piemonte,FAVACH,Età media dei padri alla nascita del figlio,2023,35.9,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,1999,34.25,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2000,34.41,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2001,34.32,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2002,34.48,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2003,34.57,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2004,34.65,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2005,34.8,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2006,34.87,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2007,34.83,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2008,34.86,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2009,34.97,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2010,34.86,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2011,34.96,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2012,35.01,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2013,35.08,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2014,35.16,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2015,35.32,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2016,35.35,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2017,35.46,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2018,35.48,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2019,35.68,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2020,35.59,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2021,35.83,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2022,35.93,,
A,Annuale,ITC11,Torino,FAVACH,Età media dei padri alla nascita del figlio,2023,36.01,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,1999,33.91,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2000,34,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2001,33.47,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2002,34.09,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2003,34.28,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2004,34.69,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2005,34.26,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2006,34.51,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2007,34.58,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2008,34.62,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2009,34.35,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2010,34.75,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2011,34.95,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2012,35.27,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2013,34.89,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2014,34.88,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2015,35.08,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2016,35.15,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2017,35.14,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2018,35.44,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2019,35.99,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2020,35.54,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2021,35.72,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2022,35.7,,
A,Annuale,ITC12,Vercelli,FAVACH,Età media dei padri alla nascita del figlio,2023,35.62,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,1999,34.11,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2000,34.13,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2001,34.23,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2002,34.24,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2003,34.72,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2004,34.81,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2005,34.85,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2006,34.73,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2007,34.84,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2008,34.85,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2009,35,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2010,35,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2011,35.22,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2012,35.02,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2013,35.23,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2014,35.14,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2015,35.3,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2016,35.54,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2017,35.88,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2018,35.52,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2019,35.91,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2020,35.61,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2021,35.99,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2022,36.05,,
A,Annuale,ITC15,Novara,FAVACH,Età media dei padri alla nascita del figlio,2023,35.97,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,1999,33.95,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2000,34,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2001,33.99,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2002,34.29,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2003,34.39,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2004,34.41,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2005,34.43,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2006,34.55,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2007,34.67,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2008,34.6,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2009,34.64,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2010,34.62,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2011,34.72,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2012,34.69,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2013,34.76,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2014,34.86,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2015,34.93,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2016,34.8,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2017,35.2,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2018,35.12,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2019,35.39,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2020,35.27,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2021,35.51,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2022,35.54,,
A,Annuale,ITC16,Cuneo,FAVACH,Età media dei padri alla nascita del figlio,2023,35.64,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,1999,34,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2000,33.89,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2001,34.3,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2002,34.16,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2003,34.52,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2004,34.66,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2005,34.33,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2006,34.53,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2007,34.59,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2008,34.26,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2009,34.22,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2010,34.32,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2011,34.71,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2012,34.43,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2013,34.64,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2014,34.88,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2015,34.73,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2016,34.88,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2017,35.03,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2018,35.18,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2019,35.25,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2020,34.65,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2021,35.58,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2022,35.5,,
A,Annuale,ITC17,Asti,FAVACH,Età media dei padri alla nascita del figlio,2023,35.16,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,1999,34.85,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2000,34.94,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2001,34.81,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2002,34.73,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2003,34.85,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2004,34.88,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2005,34.65,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2006,34.97,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2007,34.88,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2008,34.92,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2009,35.01,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2010,34.78,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2011,34.81,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2012,34.85,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2013,35.08,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2014,34.91,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2015,35.08,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2016,35.32,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2017,35.45,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2018,35.54,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2019,35.78,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2020,35.63,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2021,35.84,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2022,35.73,,
A,Annuale,ITC18,Alessandria,FAVACH,Età media dei padri alla nascita del figlio,2023,36.08,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,1999,34.07,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2000,33.99,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2001,34.28,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2002,34.05,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2003,34.43,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2004,34.68,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2005,34.81,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2006,34.39,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2007,34.51,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2008,34.9,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2009,34.92,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2010,34.81,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2011,34.65,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2012,34.82,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2013,35.13,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2014,35.07,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2015,34.87,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2016,35.57,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2017,35.27,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2018,35.54,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2019,35.69,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2020,35.38,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2021,35.89,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2022,35.77,,
A,Annuale,ITC13,Biella,FAVACH,Età media dei padri alla nascita del figlio,2023,35.92,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,1999,34.5,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2000,34.57,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2001,34.42,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2002,34.57,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2003,34.96,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2004,34.68,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2005,35.2,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2006,35.04,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2007,35.17,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2008,35.22,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2009,34.95,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2010,34.75,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2011,35.16,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2012,35.13,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2013,35.46,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2014,34.98,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2015,35.31,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2016,35.24,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2017,35.46,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2018,35.93,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2019,35.6,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2020,35.58,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2021,36.15,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2022,36.02,,
A,Annuale,ITC14,Verbano-Cusio-Ossola,FAVACH,Età media dei padri alla nascita del figlio,2023,36.24,,
